mel_spectrogram_path,video_path
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_10_id00476_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_10_id00476_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_10_id01076_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_10_id01076_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_10_id01179_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_10_id01179_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_10_id02005_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_10_id02005_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_10_id02342_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_10_id02342_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_12_id00518_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_12_id00518_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_12_id00761_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_12_id00761_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_12_id00987_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_12_id00987_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_12_id01856_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_12_id01856_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_12_id02296_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_12_id02296_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_2_id00166_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_2_id00166_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_2_id00701_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_2_id00701_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_2_id01236_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_2_id01236_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_2_id01521_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_2_id01521_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_2_id01598_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_2_id01598_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_4_id01392_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_4_id01392_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_4_id01528_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_4_id01528_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_4_id01691_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_4_id01691_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_4_id01995_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_4_id01995_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_4_id02296_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_4_id02296_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_7_id00166_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_7_id00166_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_7_id00478_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_7_id00478_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_7_id01452_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_7_id01452_wavtolip.mp4
C:\Personal\df\data_preprocessing\fakeavceleb_audio\FakeVideo_FakeAudio\African\men\id00076\00109_7_id01717_wavtolip.png,C:\Personal\df\Data\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id00076\00109_7_id01717_wavtolip.mp4
